Aarhus,AAR
Abadan,ABD
Abeche,AEH
Aberdeen,ABZ
AbidjanCote d'Ivoire,ABJ
Abilene (TX),ABI
Abu Dhabi ,AUH
Abuja ,ABV
Acapulco,ACA
Accra ,ACC
Adana,ADA
Addis Ababa ,ADD
Adelaide,ADL
Aden ,ADE
Adiyaman,ADF
Adler/Sochi,AER
Agades,AJY
Agadir,AGA
Agana (Hagåtña)Guam,SUM
Aggeneys,AGZ
AguadillaPuerto Rico,BQN
Aguascaliente,AGU
Ahmedabad,AMD
Aiyura New ,AYU
Ajaccio,AJA
Akita,AXT
Akron (OH),CAK
Akrotiri ,AKT
Al Ain,AAN
Albany,ALH
Albi,LBI
Alborg,AAL
Albuquerque (NM),ABQ
Albury,ABX
AlderneyChannel Islands,ACI
Aleppo,ALP
Alesund,AES
Alexander Bay ,ALJ
Alexandria ,HBH
Alfujairah (Fujairah),FJR
Alghero Sassari,AHO
Algiers, Houari Boumediene ,ALG
Alicante,ALC
Alice Springs,ASP
Alldays,ADY
Allentown (PA),ABE
Almaty (Alma Ata) ,ALA
Almeria,LEI
Alta,ALF
AltayPR ,AAT
Altenrhein,ACH
Altoona (PA),AOO
Altus,AXS
Amami,ASJ
Amarillo (TX),AMA
Amazon Bay New ,AZB
Amman ,AMM
Amritsar,ATQ
Amsterdam ,AMS
Anand,QNB
Anchorage (AK) ,ANC
Ancona ,AOI
 La Vella ,ALV
AnguillaAnguilla,AXA
Anjouan ,AJN
Ankara,ANK
Annaba,AAE
Ann Arbor (MI),ARB
Annecy,NCY
Anniston (AL),ANB
Antalya,AYT
Antananarivo (Tanannarive) ,TNR
Antigua, V.C. Bird Antigua and Barbuda,ANU
Antwerp,ANR
Aomori,AOJ
Apia ,APW
Appelton/Neenah/Menasha (WI),ATW
Aqaba,AQJ
Aracaju,AJU
Arkhangelsk,ARH
Arusha,ARK
Araxos,GPA
Arlit,RLT
Arrecife/Lanzarote,ACE
Aruba ,AUA
Asheville (NC),AVL
Ashgabat ,ASB
Asmara ,ASM
Aspen, (CO) ,ASE
Assiut,ATZ
Astana ,TSE
Asuncion ,ASU
Aswan ,ASW
Athens ,ATH
Atlanta (GA) ,ATL
Atlantic City (NJ) ,ACY
Attawapiskat, NT,YAT
Auckland ,AKL
Augsburg ,AGB
Augusta (GA),AGS
Aurillac,AUR
Austin (TX) ,AUS
Ayawasi,AYW
Ayers Rock ,AYQ
Ayr,AYR
Badajoz,BJZ
Bagdad ,BGW
Bagdogra,IXB
 ,NAS
Bahawalpur,BHV
 ,BAH
Bakersfield (CA),BFL
Baku ,BAK
Ballina,BNK
Baltimore (MD) ,BWI
Bamaga,ABM
Bamako ,BKO
Bambariublic,BBY
Bandar Seri Begawan ,BWN
Bandung ,BDO
Bangalore,BLR
Bangassouublic,BGU
Bangkok, Don Muang,DMK
Bangor (ME),BGR
Bangui ,BGF
Banjul ,BJL
Bannu,BNP
Barcelona,BCN
Bardufoss,BDU
Bari,BRI
Barisal,BZL
Baroda,BDQ
Barra (the famous tidal beach landing),BRR
Barranquilla,BAQ
Basel,BSL
Basel/Mulhouse/,EAP
Basra, Basrah,BSR
Basse,PTP
Basseterre ,SKB
Bastia,BIA
Baton Rouge (LA) ,BTR
Bayreuth ,BYU
Beaumont/Pt. Arthur (TX),BPT
Beckley (WV),BKW
Beef Island ,EIS
Beijing,PEK
Beira,BEW
Beirut ,BEY
Belem ,BEL
Belfast ,BHD
Belgaum,IXG
Belgrad (Beograd) ,BEG
 City ,BZE
Bellingham (WA),BLI
Belo Horizonte ,CNF
Bemidji (MN),BJI
Benbecula,BEB
Benghazi (Bengasi),BEN
Benguela,BUG
Benton Harbour (MI),BEH
Berberatiublic,BBT
Bergamo/Milan ,BGY
Bergen,BGO
Bergerac ,EGC
Berlin,BER
Bermuda ,BDA
Berne, Bern,BRN
Bethel (AK),BET
Bhopal,BHO
Bhubaneswar,BBI
Biarritz,BIQ
Bilbao,BIO
Billings (MT),BIL
Billund,BLL
Bintulu,BTU
Biraroublic,IRO
Birmingham ,BHX
Bishkek ,FRU
Bismarck (ND) ,BIS
Bissau ,BXO
Blackpool,BLK
Blackwater,BLT
Blantyre (Mandala) ,BLZ
Blenheim,BHE
Bloemfontein ,BFN
Bloomington (IL),BMI
Bluefield (WV),BLF
Boa Vista,BVB
Bobo/Dioulasso Faso,BOY
Bodo,BOO
Bodrum ,BJV
Bogota ,BOG
Boise (ID) ,BOI
Bologna,BLQ
Mumbai ,BOM
Bonaire Antilles,BON
Bonaventure, PQ,YVB
Bora BoraFrench Polynesia,BOB
